Price,Close,High,Low,Open,Volume
Ticker,^RUT,^RUT,^RUT,^RUT,^RUT
Date,,,,,
2020-03-06,1449.219970703125,1476.6300048828125,1417.27001953125,1476.6300048828125,6555240000
2020-03-09,1313.43994140625,1396.239990234375,1310.760009765625,1396.239990234375,8441290000
2020-03-10,1350.9000244140625,1351.47998046875,1288.9300537109375,1329.8800048828125,7642040000
2020-03-11,1264.300048828125,1349.239990234375,1249.280029296875,1349.239990234375,7431200000
2020-03-12,1122.9300537109375,1253.8699951171875,1121.719970703125,1253.8699951171875,8850810000
2020-03-13,1210.1300048828125,1210.1300048828125,1109.3900146484375,1153.760009765625,8299070000
2020-03-16,1037.4200439453125,1174.969970703125,1035.18994140625,1174.969970703125,7805450000
2020-03-17,1106.510009765625,1106.6800537109375,1011.9500122070312,1043.8699951171875,8370250000
2020-03-18,991.1599731445312,1062.8800048828125,966.219970703125,1057.6500244140625,8799300000
2020-03-19,1058.75,1069.1500244140625,968.8599853515625,988.7100219726562,7956100000
2020-03-20,1013.8900146484375,1087.719970703125,1009.530029296875,1064.719970703125,9053950000
2020-03-23,1002.4000244140625,1017.8900146484375,966.4199829101562,1014.0800170898438,7411380000
2020-03-24,1096.5400390625,1096.5400390625,1041.0699462890625,1041.0699462890625,7563150000
2020-03-25,1110.3699951171875,1146.81005859375,1075.8499755859375,1100.1400146484375,8300010000
2020-03-26,1180.3199462890625,1180.3199462890625,1116.300048828125,1116.300048828125,7766990000
2020-03-27,1131.989990234375,1163.9200439453125,1125.6800537109375,1163.9200439453125,6201670000
2020-03-30,1158.3199462890625,1158.6400146484375,1119.949951171875,1134.1400146484375,5751120000
2020-03-31,1153.0999755859375,1164.6300048828125,1130.3399658203125,1155.6800537109375,6576210000
2020-04-01,1071.989990234375,1127.72998046875,1064.5999755859375,1127.72998046875,5964000000
2020-04-02,1085.81005859375,1102.3599853515625,1055.5999755859375,1071.4599609375,6464190000
2020-04-03,1052.050048828125,1082.9000244140625,1035.3900146484375,1082.9000244140625,6096970000
2020-04-06,1138.780029296875,1139.9300537109375,1085.8800048828125,1085.8800048828125,6403840000
2020-04-07,1139.1700439453125,1190.97998046875,1133.550048828125,1158.1700439453125,7050410000
2020-04-08,1191.6600341796875,1197.1700439453125,1147.260009765625,1151.010009765625,5875710000
2020-04-09,1246.72998046875,1250.1300048828125,1212.6600341796875,1212.6600341796875,7899550000
2020-04-13,1212.0400390625,1240.93994140625,1200.9200439453125,1240.9100341796875,5319530000
2020-04-14,1237.3299560546875,1251.8800048828125,1224.1500244140625,1232.3199462890625,5615730000
2020-04-15,1183.97998046875,1221.7099609375,1176.030029296875,1221.7099609375,5208000000
2020-04-16,1178.0899658203125,1187.8399658203125,1154.52001953125,1185.0999755859375,5228810000
2020-04-17,1229.0999755859375,1231.9300537109375,1191.8499755859375,1191.8499755859375,5804810000
2020-04-20,1213.3499755859375,1233.8599853515625,1202.219970703125,1220.6300048828125,5228630000
2020-04-21,1185.0899658203125,1195.8800048828125,1173.9100341796875,1192.219970703125,5121010000
2020-04-22,1201.52001953125,1213.3399658203125,1196.5400390625,1203.010009765625,5084920000
2020-04-23,1214.06005859375,1232.5899658203125,1203.6600341796875,1203.6600341796875,5773530000
2020-04-24,1233.050048828125,1238.31005859375,1210.6199951171875,1216.6800537109375,5382810000
2020-04-27,1281.8800048828125,1289.1800537109375,1243.469970703125,1243.469970703125,5203930000
2020-04-28,1298.0799560546875,1316.7099609375,1282.77001953125,1301.219970703125,5691160000
2020-04-29,1360.760009765625,1373.3900146484375,1314.0400390625,1314.0400390625,6645640000
2020-04-30,1310.6600341796875,1354.800048828125,1310.449951171875,1354.800048828125,6544980000
2020-05-01,1260.47998046875,1281.0799560546875,1241.9100341796875,1280.5799560546875,4759810000
2020-05-04,1263.969970703125,1263.969970703125,1234.010009765625,1254.8800048828125,4735930000
2020-05-05,1273.510009765625,1302.449951171875,1269.989990234375,1271.219970703125,5140290000
2020-05-06,1263.010009765625,1284.9200439453125,1262.56005859375,1278.9000244140625,4892570000
2020-05-07,1282.9300537109375,1290.9200439453125,1268.3499755859375,1268.3499755859375,5178790000
2020-05-08,1329.6400146484375,1330.1099853515625,1294.280029296875,1294.280029296875,4876030000
2020-05-11,1321.239990234375,1333.8499755859375,1303.530029296875,1320.3699951171875,4819730000
2020-05-12,1275.5400390625,1326.8900146484375,1275.5400390625,1322.6700439453125,5119630000
2020-05-13,1233.25,1272.9000244140625,1212.75,1272.9000244140625,6151650000
2020-05-14,1237.550048828125,1237.56005859375,1181.0899658203125,1226.6600341796875,5651130000
2020-05-15,1256.989990234375,1259.280029296875,1225.550048828125,1236.25,5507700000
2020-05-18,1333.68994140625,1338.3499755859375,1290.9000244140625,1290.9000244140625,6373670000
2020-05-19,1307.719970703125,1339.1199951171875,1307.27001953125,1330.27001953125,4984330000
2020-05-20,1346.9300537109375,1353.3800048828125,1322.780029296875,1322.780029296875,5005380000
2020-05-21,1347.56005859375,1354.6500244140625,1333.989990234375,1345.719970703125,4976620000
2020-05-22,1355.530029296875,1355.77001953125,1338.1300048828125,1349.4000244140625,3970860000
2020-05-26,1393.0699462890625,1406.77001953125,1361.1600341796875,1361.1600341796875,5848500000
2020-05-27,1436.3599853515625,1438.9599609375,1382.030029296875,1398.5,6398000000
2020-05-28,1400.6700439453125,1450.3699951171875,1396.949951171875,1437.8399658203125,5447020000
2020-05-29,1394.0400390625,1399.050048828125,1372.7099609375,1399.050048828125,7297550000
2020-06-01,1405.3699951171875,1419.93994140625,1395.510009765625,1396.2900390625,4684170000
2020-06-02,1418.2099609375,1421.1199951171875,1403.68994140625,1409.1600341796875,5197150000
2020-06-03,1452.0899658203125,1463.550048828125,1425.3699951171875,1425.3699951171875,6005560000
2020-06-04,1452.06005859375,1460.0899658203125,1439.1099853515625,1450.1600341796875,6451290000
2020-06-05,1507.1500244140625,1525.56005859375,1460.1800537109375,1460.1800537109375,8639300000
2020-06-08,1536.8900146484375,1537.6199951171875,1510.5899658203125,1510.5899658203125,8498300000
2020-06-09,1507.050048828125,1533.030029296875,1496.68994140625,1533.030029296875,6410930000
2020-06-10,1467.3900146484375,1506.93994140625,1465.93994140625,1506.93994140625,6598870000
2020-06-11,1356.219970703125,1458.3399658203125,1355.3199462890625,1458.3399658203125,7037320000
2020-06-12,1387.6800537109375,1412.9100341796875,1349.3900146484375,1366.9599609375,5845330000
